"role","name","email","password","category","zone","notes"
"supplier","Asanka Peiris","asanka.peiris.12@fixflow.lk","FixFlowDemo1","Roofing","kadana","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Mahesh Rathnayake","mahesh.rathnayake.13@fixflow.lk","FixFlowDemo1","Roofing","rajagiriya","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Nuwan Herath","nuwan.herath.14@fixflow.lk","FixFlowDemo1","Roofing","rajagiriya","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Kumaran Pillai","kumaran.pillai.15@fixflow.lk","FixFlowDemo1","Roofing","nawala","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Rohan Jayawardena","rohan.jayawardena.16@fixflow.lk","FixFlowDemo1","Carpentry","kadana","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Kasun Amarasinghe","kasun.amarasinghe.17@fixflow.lk","FixFlowDemo1","Carpentry","kadana","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Thilak Dissanayake","thilak.dissanayake.18@fixflow.lk","FixFlowDemo1","Carpentry","rajagiriya","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Pradeep Fonseka","pradeep.fonseka.19@fixflow.lk","FixFlowDemo1","Carpentry","rajagiriya","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Gayan Silva","gayan.silva.20@fixflow.lk","FixFlowDemo1","Carpentry","nawala","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Saman Kumarasinghe","saman.kumarasinghe.21@fixflow.lk","FixFlowDemo1","Painting","kadana","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Buddika Pathirana","buddika.pathirana.22@fixflow.lk","FixFlowDemo1","Painting","kadana","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Lalith Weerasinghe","lalith.weerasinghe.23@fixflow.lk","FixFlowDemo1","Painting","rajagiriya","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Chathura Ekanayake","chathura.ekanayake.24@fixflow.lk","FixFlowDemo1","Painting","rajagiriya","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Muthu Krishnan","muthu.krishnan.25@fixflow.lk","FixFlowDemo1","Painting","nawala","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Chaminda Senanayake","chaminda.senanayake.26@fixflow.lk","FixFlowDemo1","Garden / Landscaping","kadana","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Lahiru Abeysekara","lahiru.abeysekara.27@fixflow.lk","FixFlowDemo1","Garden / Landscaping","kadana","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Anura Gunasekara","anura.gunasekara.28@fixflow.lk","FixFlowDemo1","Garden / Landscaping","rajagiriya","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Dilshan Karunaratne","dilshan.karunaratne.29@fixflow.lk","FixFlowDemo1","Garden / Landscaping","rajagiriya","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Ruwan Bandara","ruwan.bandara.30@fixflow.lk","FixFlowDemo1","Garden / Landscaping","nawala","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Selvakumar Nadar","selvakumar.nadar.31@fixflow.lk","FixFlowDemo1","General Maintenance","kadana","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Amila Ratnayake","amila.ratnayake.32@fixflow.lk","FixFlowDemo1","General Maintenance","kadana","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Ishara Mendis","ishara.mendis.33@fixflow.lk","FixFlowDemo1","General Maintenance","rajagiriya","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Tharindu Jayasinghe","tharindu.jayasinghe.34@fixflow.lk","FixFlowDemo1","General Maintenance","rajagiriya","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Heshan Jayasuriya","heshan.jayasuriya.35@fixflow.lk","FixFlowDemo1","General Maintenance","nawala","After npx convex run demoAuth:setupDemoSupplierPasswords"
